edge_id,source,target,edge_type,paper_id
E000001,ICT_L1_ハードウェア,ICT_L2_タブレット端末,hierarchy,
E000002,ICT_L2_タブレット端末,ICT_L3_NEXUS7,hierarchy,
E000003,FUNCTION_L1_可視化・表示系機能,FUNCTION_L2_映像・画像の表示・拡大,hierarchy,
E000004,FUNCTION_L2_映像・画像の表示・拡大,FUNCTION_L3_顕微鏡映像をタブレット画面に表示,hierarchy,
E000005,ICT_L3_NEXUS7,FUNCTION_L3_顕微鏡映像をタブレット画面に表示,ict_function,1
E000006,FUNCTION_L2_映像・画像の表示・拡大,FUNCTION_L3_顕微鏡以上の拡大表示が可能,hierarchy,
E000007,ICT_L3_NEXUS7,FUNCTION_L3_顕微鏡以上の拡大表示が可能,ict_function,1
E000008,OPPORTUNITY_L2_微細な物質や構造の変化を捉える観察,OPPORTUNITY_L3_タブレット顕微鏡を用いてブラウン運動を協働的に観察する活動,hierarchy,
E000009,FUNCTION_L3_顕微鏡映像をタブレット画面に表示,OPPORTUNITY_L3_タブレット顕微鏡を用いてブラウン運動を協働的に観察する活動,function_opportunity,1
E000010,FUNCTION_L3_顕微鏡以上の拡大表示が可能,OPPORTUNITY_L3_タブレット顕微鏡を用いてブラウン運動を協働的に観察する活動,function_opportunity,1
E000011,OPPORTUNITY_L2_意見や考察を交換し多様な視点を取りいれる討議活動,OPPORTUNITY_L3_観察結果をグループ内で共有しその内容について討議する活動,hierarchy,
E000012,FUNCTION_L3_顕微鏡映像をタブレット画面に表示,OPPORTUNITY_L3_観察結果をグループ内で共有しその内容について討議する活動,function_opportunity,1
E000013,FUNCTION_L3_顕微鏡以上の拡大表示が可能,OPPORTUNITY_L3_観察結果をグループ内で共有しその内容について討議する活動,function_opportunity,1
E000014,EFFECT_L2_科学的概念・法則の理解,EFFECT_L3_粒子の運動に関する理解が深まる,hierarchy,
E000015,OPPORTUNITY_L3_タブレット顕微鏡を用いてブラウン運動を協働的に観察する活動,EFFECT_L3_粒子の運動に関する理解が深まる,opportunity_effect,1
E000016,OPPORTUNITY_L3_観察結果をグループ内で共有しその内容について討議する活動,EFFECT_L3_粒子の運動に関する理解が深まる,opportunity_effect,1
E000017,EFFECT_L2_理科への興味・関心・意欲,EFFECT_L3_観察に対する意欲が高まる,hierarchy,
E000018,OPPORTUNITY_L3_タブレット顕微鏡を用いてブラウン運動を協働的に観察する活動,EFFECT_L3_観察に対する意欲が高まる,opportunity_effect,1
E000019,UNIT_L1_中学校,UNIT_L2_中学校1年,hierarchy,
E000020,UNIT_L2_中学校1年,UNIT_L3_化学,hierarchy,
E000021,UNIT_L3_化学,UNIT_L4_物質のすがた（身の回りの物質とその性質）,hierarchy,
E000022,EFFECT_L3_粒子の運動に関する理解が深まる,UNIT_L4_物質のすがた（身の回りの物質とその性質）,effect_unit,1
E000023,EFFECT_L3_観察に対する意欲が高まる,UNIT_L4_物質のすがた（身の回りの物質とその性質）,effect_unit,1
E000024,ICT_L2_タブレット端末,ICT_L3_携帯端末,hierarchy,
E000025,ICT_L1_ソフトウェア,ICT_L2_観測・記録アプリ,hierarchy,
E000026,ICT_L2_観測・記録アプリ,ICT_L3_カメラアプリ,hierarchy,
E000027,ICT_L1_ソフトウェア,ICT_L2_メディア・映像・画像,hierarchy,
E000028,ICT_L2_メディア・映像・画像,ICT_L3_タイムラプス動画,hierarchy,
E000029,FUNCTION_L1_可視化・表示系機能,FUNCTION_L2_空間・地形情報の可視化,hierarchy,
E000030,FUNCTION_L2_空間・地形情報の可視化,FUNCTION_L3_雲の変化を短時間で視覚的に確認が可能,hierarchy,
E000031,ICT_L3_タイムラプス動画,FUNCTION_L3_雲の変化を短時間で視覚的に確認が可能,ict_function,3
E000032,FUNCTION_L2_空間・地形情報の可視化,FUNCTION_L3_雲の動きや発生を通して大気の運動を可視化が可能,hierarchy,
E000033,ICT_L3_タイムラプス動画,FUNCTION_L3_雲の動きや発生を通して大気の運動を可視化が可能,ict_function,3
E000034,FUNCTION_L1_学習支援・管理系機能,FUNCTION_L2_学習支援・管理,hierarchy,
E000035,FUNCTION_L2_学習支援・管理,FUNCTION_L3_個々の端末を用いていつでも撮影が可能,hierarchy,
E000036,ICT_L3_タイムラプス動画,FUNCTION_L3_個々の端末を用いていつでも撮影が可能,ict_function,3
E000037,FUNCTION_L1_分析・比較系機能,FUNCTION_L2_比較・探索機能,hierarchy,
E000038,FUNCTION_L2_比較・探索機能,FUNCTION_L3_撮影データを繰り返し分析・比較が可能,hierarchy,
E000039,OPPORTUNITY_L2_学びの成果を発表・伝達する活動,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,hierarchy,
E000040,FUNCTION_L3_雲の変化を短時間で視覚的に確認が可能,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,function_opportunity,3
E000041,FUNCTION_L3_雲の動きや発生を通して大気の運動を可視化が可能,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,function_opportunity,3
E000042,FUNCTION_L3_個々の端末を用いていつでも撮影が可能,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,function_opportunity,3
E000043,FUNCTION_L3_撮影データを繰り返し分析・比較が可能,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,function_opportunity,3
E000044,OPPORTUNITY_L2_他者の成果を参照し自らの考えを再構成する活動,OPPORTUNITY_L3_他者の発表を聞き自分とは異なる視点を取り入れる活動,hierarchy,
E000045,FUNCTION_L3_撮影データを繰り返し分析・比較が可能,OPPORTUNITY_L3_他者の発表を聞き自分とは異なる視点を取り入れる活動,function_opportunity,3
E000046,EFFECT_L2_自然現象等の理解,EFFECT_L3_雲の動きや発生に関する理解が深まる,hierarchy,
E000047,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,EFFECT_L3_雲の動きや発生に関する理解が深まる,opportunity_effect,3
E000048,EFFECT_L2_自然現象等の理解,EFFECT_L3_大気の動きや気象現象に関する理解が深まる,hierarchy,
E000049,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,EFFECT_L3_大気の動きや気象現象に関する理解が深まる,opportunity_effect,3
E000050,EFFECT_L2_理科への興味・関心・意欲,EFFECT_L3_雲や天気の変化に対する興味・関心が高まる,hierarchy,
E000051,OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,EFFECT_L3_雲や天気の変化に対する興味・関心が高まる,opportunity_effect,3
E000052,OPPORTUNITY_L3_他者の発表を聞き自分とは異なる視点を取り入れる活動,EFFECT_L3_雲や天気の変化に対する興味・関心が高まる,opportunity_effect,3
E000053,UNIT_L1_高等学校,UNIT_L2_高等学校3年,hierarchy,
E000054,UNIT_L2_高等学校3年,UNIT_L3_地学,hierarchy,
E000055,UNIT_L3_地学,UNIT_L4_大気と海洋（大気の海水の運動）,hierarchy,
E000056,EFFECT_L3_雲の動きや発生に関する理解が深まる,UNIT_L4_大気と海洋（大気の海水の運動）,effect_unit,3
E000057,EFFECT_L3_大気の動きや気象現象に関する理解が深まる,UNIT_L4_大気と海洋（大気の海水の運動）,effect_unit,3
E000058,EFFECT_L3_雲や天気の変化に対する興味・関心が高まる,UNIT_L4_大気と海洋（大気の海水の運動）,effect_unit,3
E000059,ICT_L1_ハードウェア,ICT_L2_センサー・計測機器,hierarchy,
E000060,ICT_L2_センサー・計測機器,ICT_L3_データロガー,hierarchy,
E000061,ICT_L2_センサー・計測機器,ICT_L3_酸素濃度センサー,hierarchy,
E000062,ICT_L2_センサー・計測機器,ICT_L3_二酸化炭素濃度センサー,hierarchy,
E000063,ICT_L1_ハードウェア,ICT_L2_表示機器,hierarchy,
E000064,ICT_L2_表示機器,ICT_L3_液晶ディスプレイ,hierarchy,
E000065,ICT_L1_ハードウェア,ICT_L2_PC,hierarchy,
E000066,ICT_L2_PC,ICT_L3_PC,hierarchy,
E000067,ICT_L3_酸素濃度センサー,ICT_L3_PC,ict_combination,4
E000068,ICT_L3_二酸化炭素濃度センサー,ICT_L3_PC,ict_combination,4
E000069,FUNCTION_L1_可視化・表示系機能,FUNCTION_L2_データ・現象の可視化,hierarchy,
E000070,FUNCTION_L2_データ・現象の可視化,FUNCTION_L3_気体濃度変化のリアルタイム観察が可能,hierarchy,
E000071,ICT_L3_液晶ディスプレイ,FUNCTION_L3_気体濃度変化のリアルタイム観察が可能,ict_function,4
E000072,FUNCTION_L2_データ・現象の可視化,FUNCTION_L3_気体濃度データのグラフ表示が可能,hierarchy,
E000073,ICT_L3_液晶ディスプレイ,FUNCTION_L3_気体濃度データのグラフ表示が可能,ict_function,4
E000074,FUNCTION_L1_共有・協働・通信系機能,FUNCTION_L2_データ・資料の共有,hierarchy,
E000075,FUNCTION_L2_データ・資料の共有,FUNCTION_L3_同じ画面を児童同士で共有が可能,hierarchy,
E000076,ICT_L3_液晶ディスプレイ,FUNCTION_L3_同じ画面を児童同士で共有が可能,ict_function,4
E000077,OPPORTUNITY_L2_物理量やエネルギーの変化を捉える観察,OPPORTUNITY_L3_気体濃度変化をリアルタイムに観察する活動,hierarchy,
E000078,FUNCTION_L3_気体濃度変化のリアルタイム観察が可能,OPPORTUNITY_L3_気体濃度変化をリアルタイムに観察する活動,function_opportunity,4
E000079,FUNCTION_L3_気体濃度データのグラフ表示が可能,OPPORTUNITY_L3_気体濃度変化をリアルタイムに観察する活動,function_opportunity,4
E000080,OPPORTUNITY_L2_物理量やエネルギーの変化を捉える観察,OPPORTUNITY_L3_光合成と呼吸の比較・観察する活動,hierarchy,
E000081,FUNCTION_L3_気体濃度変化のリアルタイム観察が可能,OPPORTUNITY_L3_光合成と呼吸の比較・観察する活動,function_opportunity,4
E000082,OPPORTUNITY_L2_観察や実験結果・考察などを共有し他者と比較・確認する活動,OPPORTUNITY_L3_観察結果を他者と共有する活動,hierarchy,
E000083,FUNCTION_L3_同じ画面を児童同士で共有が可能,OPPORTUNITY_L3_観察結果を他者と共有する活動,function_opportunity,4
E000084,OPPORTUNITY_L2_効率的な観察,OPPORTUNITY_L3_短時間で対象を観察し結果を確認する活動,hierarchy,
E000085,FUNCTION_L3_気体濃度変化のリアルタイム観察が可能,OPPORTUNITY_L3_短時間で対象を観察し結果を確認する活動,function_opportunity,4
E000086,FUNCTION_L3_気体濃度データのグラフ表示が可能,OPPORTUNITY_L3_短時間で対象を観察し結果を確認する活動,function_opportunity,4
E000087,EFFECT_L2_科学的概念・法則の理解,EFFECT_L3_光合成の過程に関する理解が深まる,hierarchy,
E000088,OPPORTUNITY_L3_気体濃度変化をリアルタイムに観察する活動,EFFECT_L3_光合成の過程に関する理解が深まる,opportunity_effect,4
E000089,OPPORTUNITY_L3_光合成と呼吸の比較・観察する活動,EFFECT_L3_光合成の過程に関する理解が深まる,opportunity_effect,4
E000090,OPPORTUNITY_L3_観察結果を他者と共有する活動,EFFECT_L3_観察に対する意欲が高まる,opportunity_effect,4
E000091,EFFECT_L2_授業の効率化,EFFECT_L3_時間のかかる現象の観察や実験（光合成）が効率化される,hierarchy,
E000092,OPPORTUNITY_L3_短時間で対象を観察し結果を確認する活動,EFFECT_L3_時間のかかる現象の観察や実験（光合成）が効率化される,opportunity_effect,4
E000093,UNIT_L1_小学校,UNIT_L2_小学校6年,hierarchy,
E000094,UNIT_L2_小学校6年,UNIT_L3_生物,hierarchy,
E000095,UNIT_L3_生物,UNIT_L4_生物と環境（生物と水空気との関わり）,hierarchy,
E000096,EFFECT_L3_光合成の過程に関する理解が深まる,UNIT_L4_生物と環境（生物と水空気との関わり）,effect_unit,4
E000097,EFFECT_L3_観察に対する意欲が高まる,UNIT_L4_生物と環境（生物と水空気との関わり）,effect_unit,4
E000098,EFFECT_L3_時間のかかる現象の観察や実験（光合成）が効率化される,UNIT_L4_生物と環境（生物と水空気との関わり）,effect_unit,4
E000099,ICT_L2_PC,ICT_L3_Windows,hierarchy,
E000100,ICT_L1_ソフトウェア,ICT_L2_学習支援・学習管理システム,hierarchy,
E000101,ICT_L2_学習支援・学習管理システム,ICT_L3_スタディノート,hierarchy,
E000102,FUNCTION_L1_記録・保存・整理系機能,FUNCTION_L2_学習ログ・記録の整理,hierarchy,
E000103,FUNCTION_L2_学習ログ・記録の整理,FUNCTION_L3_実験記録を二次元マップ上で可視化が可能,hierarchy,
E000104,ICT_L3_スタディノート,FUNCTION_L3_実験記録を二次元マップ上で可視化が可能,ict_function,5
E000105,FUNCTION_L2_データ・資料の共有,FUNCTION_L3_デジタルノートによる情報共有が可能,hierarchy,
E000106,ICT_L3_スタディノート,FUNCTION_L3_デジタルノートによる情報共有が可能,ict_function,5
E000107,FUNCTION_L1_共有・協働・通信系機能,FUNCTION_L2_意見・評価の共有,hierarchy,
E000108,FUNCTION_L2_意見・評価の共有,FUNCTION_L3_学習の評価規準をマップ上で構造化表示が可能,hierarchy,
E000109,ICT_L3_スタディノート,FUNCTION_L3_学習の評価規準をマップ上で構造化表示が可能,ict_function,5
E000110,OPPORTUNITY_L2_観察や実験結果・考察などを共有し他者と比較・確認する活動,OPPORTUNITY_L3_共有した実験データをもとに相互に評価・検討する活動,hierarchy,
E000111,FUNCTION_L3_実験記録を二次元マップ上で可視化が可能,OPPORTUNITY_L3_共有した実験データをもとに相互に評価・検討する活動,function_opportunity,5
E000112,FUNCTION_L3_デジタルノートによる情報共有が可能,OPPORTUNITY_L3_共有した実験データをもとに相互に評価・検討する活動,function_opportunity,5
E000113,OPPORTUNITY_L2_意見や考察を交換し多様な視点を取りいれる討議活動,OPPORTUNITY_L3_誤差の扱いについて結果や方法を比較し班内で議論する活動,hierarchy,
E000114,FUNCTION_L3_学習の評価規準をマップ上で構造化表示が可能,OPPORTUNITY_L3_誤差の扱いについて結果や方法を比較し班内で議論する活動,function_opportunity,5
E000115,OPPORTUNITY_L2_条件を操作して変化や法則を確かめる実験,OPPORTUNITY_L3_議論の結果をもとに条件を見直し再実験を行って確かめる活動,hierarchy,
E000116,FUNCTION_L3_学習の評価規準をマップ上で構造化表示が可能,OPPORTUNITY_L3_議論の結果をもとに条件を見直し再実験を行って確かめる活動,function_opportunity,5
E000117,OPPORTUNITY_L2_仮説を立て・検証計画を立案する探究,OPPORTUNITY_L3_データベースマップ上の情報を根拠に仮説を立てて検証する活動,hierarchy,
E000118,FUNCTION_L3_実験記録を二次元マップ上で可視化が可能,OPPORTUNITY_L3_データベースマップ上の情報を根拠に仮説を立てて検証する活動,function_opportunity,5
E000119,EFFECT_L2_主体的に学習に取り組む力,EFFECT_L3_学習の評価規準を意識した学習が促される,hierarchy,
E000120,OPPORTUNITY_L3_共有した実験データをもとに相互に評価・検討する活動,EFFECT_L3_学習の評価規準を意識した学習が促される,opportunity_effect,5
E000121,EFFECT_L2_科学的に考える力,EFFECT_L3_誤差に対する認識が共有され科学的な理解が深まる,hierarchy,
E000122,OPPORTUNITY_L3_誤差の扱いについて結果や方法を比較し班内で議論する活動,EFFECT_L3_誤差に対する認識が共有され科学的な理解が深まる,opportunity_effect,5
E000123,EFFECT_L2_協同的に学ぶ力・社会とのつながり,EFFECT_L3_協働して学ぶ姿勢が育まれる,hierarchy,
E000124,OPPORTUNITY_L3_誤差の扱いについて結果や方法を比較し班内で議論する活動,EFFECT_L3_協働して学ぶ姿勢が育まれる,opportunity_effect,5
E000125,OPPORTUNITY_L3_議論の結果をもとに条件を見直し再実験を行って確かめる活動,EFFECT_L3_協働して学ぶ姿勢が育まれる,opportunity_effect,5
E000126,OPPORTUNITY_L3_データベースマップ上の情報を根拠に仮説を立てて検証する活動,EFFECT_L3_協働して学ぶ姿勢が育まれる,opportunity_effect,5
E000127,UNIT_L1_小学校,UNIT_L2_小学校5年,hierarchy,
E000128,UNIT_L2_小学校5年,UNIT_L3_物理,hierarchy,
E000129,UNIT_L3_物理,UNIT_L4_振り子の運動（振り子の運動）,hierarchy,
E000130,EFFECT_L3_学習の評価規準を意識した学習が促される,UNIT_L4_振り子の運動（振り子の運動）,effect_unit,5
E000131,EFFECT_L3_誤差に対する認識が共有され科学的な理解が深まる,UNIT_L4_振り子の運動（振り子の運動）,effect_unit,5
E000132,EFFECT_L3_協働して学ぶ姿勢が育まれる,UNIT_L4_振り子の運動（振り子の運動）,effect_unit,5
E000133,ICT_L1_ソフトウェア,ICT_L2_プレゼンテーションソフト,hierarchy,
E000134,ICT_L2_プレゼンテーションソフト,ICT_L3_PowerPoint,hierarchy,
E000135,FUNCTION_L2_データ・現象の可視化,FUNCTION_L3_水分子の運動や振動を動画として表現が可能,hierarchy,
E000136,ICT_L3_PowerPoint,FUNCTION_L3_水分子の運動や振動を動画として表現が可能,ict_function,7
E000137,FUNCTION_L1_編集・加工系機能,FUNCTION_L2_資料・スライド作成,hierarchy,
E000138,FUNCTION_L2_資料・スライド作成,FUNCTION_L3_状態変化を連続的なストーリーとして表現が可能,hierarchy,
E000139,ICT_L3_PowerPoint,FUNCTION_L3_状態変化を連続的なストーリーとして表現が可能,ict_function,7
E000140,FUNCTION_L2_データ・資料の共有,FUNCTION_L3_学習者間で動画データの即時共有が可能,hierarchy,
E000141,ICT_L3_PowerPoint,FUNCTION_L3_学習者間で動画データの即時共有が可能,ict_function,7
E000142,FUNCTION_L2_資料・スライド作成,FUNCTION_L3_言語的コードと非言語的コードの併用表現が可能,hierarchy,
E000143,OPPORTUNITY_L2_学びの成果を発表・伝達する活動,OPPORTUNITY_L3_グループで作成した動画モデルを用いて発表する活動,hierarchy,
E000144,FUNCTION_L3_状態変化を連続的なストーリーとして表現が可能,OPPORTUNITY_L3_グループで作成した動画モデルを用いて発表する活動,function_opportunity,7
E000145,FUNCTION_L3_学習者間で動画データの即時共有が可能,OPPORTUNITY_L3_グループで作成した動画モデルを用いて発表する活動,function_opportunity,7
E000146,OPPORTUNITY_L2_学びの成果を発表・伝達する活動,OPPORTUNITY_L3_分子運動論の理解を基に動画を作成しその内容を他者と共有する活動,hierarchy,
E000147,FUNCTION_L3_水分子の運動や振動を動画として表現が可能,OPPORTUNITY_L3_分子運動論の理解を基に動画を作成しその内容を他者と共有する活動,function_opportunity,7
E000148,FUNCTION_L3_言語的コードと非言語的コードの併用表現が可能,OPPORTUNITY_L3_分子運動論の理解を基に動画を作成しその内容を他者と共有する活動,function_opportunity,7
E000149,EFFECT_L2_科学的概念・法則の理解,EFFECT_L3_分子運動論に関する理解が深まる,hierarchy,
E000150,OPPORTUNITY_L3_グループで作成した動画モデルを用いて発表する活動,EFFECT_L3_分子運動論に関する理解が深まる,opportunity_effect,7
E000151,EFFECT_L2_科学的概念・法則の理解,EFFECT_L3_熱エネルギーと分子の運動との関係に関する理解が深まる,hierarchy,
E000152,OPPORTUNITY_L3_分子運動論の理解を基に動画を作成しその内容を他者と共有する活動,EFFECT_L3_熱エネルギーと分子の運動との関係に関する理解が深まる,opportunity_effect,7
E000153,EFFECT_L2_科学的に表現し説明する力,EFFECT_L3_科学的な表現の幅と精密さが豊かになる,hierarchy,
E000154,OPPORTUNITY_L3_分子運動論の理解を基に動画を作成しその内容を他者と共有する活動,EFFECT_L3_科学的な表現の幅と精密さが豊かになる,opportunity_effect,7
E000155,UNIT_L3_化学,UNIT_L4_状態変化（状態変化と熱）,hierarchy,
E000156,EFFECT_L3_分子運動論に関する理解が深まる,UNIT_L4_状態変化（状態変化と熱）,effect_unit,7
E000157,EFFECT_L3_熱エネルギーと分子の運動との関係に関する理解が深まる,UNIT_L4_状態変化（状態変化と熱）,effect_unit,7
E000158,EFFECT_L3_科学的な表現の幅と精密さが豊かになる,UNIT_L4_状態変化（状態変化と熱）,effect_unit,7
E000159,ICT_L2_タブレット端末,ICT_L3_iPad,hierarchy,
E000160,ICT_L1_ソフトウェア,ICT_L2_コミュニケーション・共有ツール,hierarchy,
E000161,ICT_L2_コミュニケーション・共有ツール,ICT_L3_FaceTime,hierarchy,
E000162,FUNCTION_L1_共有・協働・通信系機能,FUNCTION_L2_リアルタイム通信・対話,hierarchy,
E000163,FUNCTION_L2_リアルタイム通信・対話,FUNCTION_L3_遠隔地の他校生徒とのリアルタイム通信が可能,hierarchy,
E000164,ICT_L3_FaceTime,FUNCTION_L3_遠隔地の他校生徒とのリアルタイム通信が可能,ict_function,8
E000165,FUNCTION_L2_リアルタイム通信・対話,FUNCTION_L3_遠隔地の他校の小グループ間での直接会話が可能,hierarchy,
E000166,ICT_L3_FaceTime,FUNCTION_L3_遠隔地の他校の小グループ間での直接会話が可能,ict_function,8
E000167,FUNCTION_L2_データ・資料の共有,FUNCTION_L3_他者の資料・発表内容をリアルタイムに参照可能,hierarchy,
E000168,ICT_L3_FaceTime,FUNCTION_L3_他者の資料・発表内容をリアルタイムに参照可能,ict_function,8
E000169,OPPORTUNITY_L2_遠隔交流や専門家との対話を通して学びを広げる活動,OPPORTUNITY_L3_他地域の生徒との意見交換,hierarchy,
E000170,FUNCTION_L3_遠隔地の他校生徒とのリアルタイム通信が可能,OPPORTUNITY_L3_他地域の生徒との意見交換,function_opportunity,8
E000171,OPPORTUNITY_L2_意見や考察を交換し多様な視点を取りいれる討議活動,OPPORTUNITY_L3_相手の発言を比較検討する討議活動,hierarchy,
E000172,FUNCTION_L3_遠隔地の他校の小グループ間での直接会話が可能,OPPORTUNITY_L3_相手の発言を比較検討する討議活動,function_opportunity,8
E000173,OPPORTUNITY_L2_学びを整理し自らの理解を表現する活動,OPPORTUNITY_L3_互いに説明し合いながら内容を図で表現する活動,hierarchy,
E000174,FUNCTION_L3_他者の資料・発表内容をリアルタイムに参照可能,OPPORTUNITY_L3_互いに説明し合いながら内容を図で表現する活動,function_opportunity,8
E000175,EFFECT_L2_結果を分析し考察する力,EFFECT_L3_多面的に捉えて総合的に考察する力が育まれる,hierarchy,
E000176,OPPORTUNITY_L3_他地域の生徒との意見交換,EFFECT_L3_多面的に捉えて総合的に考察する力が育まれる,opportunity_effect,8
E000177,OPPORTUNITY_L3_相手の発言を比較検討する討議活動,EFFECT_L3_多面的に捉えて総合的に考察する力が育まれる,opportunity_effect,8
E000178,OPPORTUNITY_L3_互いに説明し合いながら内容を図で表現する活動,EFFECT_L3_多面的に捉えて総合的に考察する力が育まれる,opportunity_effect,8
E000179,EFFECT_L2_科学的に表現し説明する力,EFFECT_L3_根拠をもとに自分の考えを説明する力が育まれる,hierarchy,
E000180,OPPORTUNITY_L3_相手の発言を比較検討する討議活動,EFFECT_L3_根拠をもとに自分の考えを説明する力が育まれる,opportunity_effect,8
E000181,OPPORTUNITY_L3_互いに説明し合いながら内容を図で表現する活動,EFFECT_L3_根拠をもとに自分の考えを説明する力が育まれる,opportunity_effect,8
E000182,EFFECT_L2_科学的に表現し説明する力,EFFECT_L3_他者に伝わるように考えを整理し分かりやすく表現する力が育まれる,hierarchy,
E000183,OPPORTUNITY_L3_他地域の生徒との意見交換,EFFECT_L3_他者に伝わるように考えを整理し分かりやすく表現する力が育まれる,opportunity_effect,8
E000184,OPPORTUNITY_L3_相手の発言を比較検討する討議活動,EFFECT_L3_他者に伝わるように考えを整理し分かりやすく表現する力が育まれる,opportunity_effect,8
E000185,OPPORTUNITY_L3_互いに説明し合いながら内容を図で表現する活動,EFFECT_L3_他者に伝わるように考えを整理し分かりやすく表現する力が育まれる,opportunity_effect,8
E000186,UNIT_L1_中学校,UNIT_L2_中学校3年,hierarchy,
E000187,UNIT_L2_中学校3年,UNIT_L3_地学,hierarchy,
E000188,UNIT_L3_地学,UNIT_L4_自然環境の保全と科学技術の利用（自然環境の保全と科学技術の利用）,hierarchy,
E000189,EFFECT_L3_多面的に捉えて総合的に考察する力が育まれる,UNIT_L4_自然環境の保全と科学技術の利用（自然環境の保全と科学技術の利用）,effect_unit,8
E000190,EFFECT_L3_根拠をもとに自分の考えを説明する力が育まれる,UNIT_L4_自然環境の保全と科学技術の利用（自然環境の保全と科学技術の利用）,effect_unit,8
E000191,EFFECT_L3_他者に伝わるように考えを整理し分かりやすく表現する力が育まれる,UNIT_L4_自然環境の保全と科学技術の利用（自然環境の保全と科学技術の利用）,effect_unit,8
E000192,ICT_L3_FaceTime,FUNCTION_L3_遠隔地の他校生徒とのリアルタイム通信が可能,ict_function,9
E000193,ICT_L3_FaceTime,FUNCTION_L3_遠隔地の他校の小グループ間での直接会話が可能,ict_function,9
E000194,FUNCTION_L2_データ・資料の共有,FUNCTION_L3_生徒間でのデータ・資料の共有・比較が可能,hierarchy,
E000195,ICT_L3_FaceTime,FUNCTION_L3_生徒間でのデータ・資料の共有・比較が可能,ict_function,9
E000196,OPPORTUNITY_L2_観察や実験の結果をもとに科学的に考察を深める探究,OPPORTUNITY_L3_複数地域の地質を比較・考察する活動,hierarchy,
E000197,FUNCTION_L3_遠隔地の他校生徒とのリアルタイム通信が可能,OPPORTUNITY_L3_複数地域の地質を比較・考察する活動,function_opportunity,9
E000198,FUNCTION_L3_遠隔地の他校の小グループ間での直接会話が可能,OPPORTUNITY_L3_複数地域の地質を比較・考察する活動,function_opportunity,9
E000199,FUNCTION_L3_生徒間でのデータ・資料の共有・比較が可能,OPPORTUNITY_L3_複数地域の地質を比較・考察する活動,function_opportunity,9
E000200,OPPORTUNITY_L2_学びの成果を発表・伝達する活動,OPPORTUNITY_L3_自らの調査で得た内容を整理し他者に向けて説明・発信する活動,hierarchy,
E000201,FUNCTION_L3_遠隔地の他校生徒とのリアルタイム通信が可能,OPPORTUNITY_L3_自らの調査で得た内容を整理し他者に向けて説明・発信する活動,function_opportunity,9
E000202,FUNCTION_L3_遠隔地の他校の小グループ間での直接会話が可能,OPPORTUNITY_L3_自らの調査で得た内容を整理し他者に向けて説明・発信する活動,function_opportunity,9
E000203,FUNCTION_L3_生徒間でのデータ・資料の共有・比較が可能,OPPORTUNITY_L3_自らの調査で得た内容を整理し他者に向けて説明・発信する活動,function_opportunity,9
E000204,EFFECT_L2_自然現象等の理解,EFFECT_L3_火山活動とマグマの粘性との関係理解が深まる,hierarchy,
E000205,OPPORTUNITY_L3_複数地域の地質を比較・考察する活動,EFFECT_L3_火山活動とマグマの粘性との関係理解が深まる,opportunity_effect,9
E000206,EFFECT_L2_自然現象等の理解,EFFECT_L3_造岩鉱物の種類と色の違いに関する理解が深まる,hierarchy,
