node_id,label,layer,level,parent_id,display_order
ICT_L1_ハードウェア,ハードウェア,ICT,1,,1
ICT_L2_タブレット端末,タブレット端末,ICT,2,ICT_L1_ハードウェア,2
ICT_L3_NEXUS7,NEXUS7,ICT,3,ICT_L2_タブレット端末,3
FUNCTION_L1_可視化・表示系機能,可視化・表示系機能,FUNCTION,1,,4
FUNCTION_L2_映像・画像の表示・拡大,映像・画像の表示・拡大,FUNCTION,2,FUNCTION_L1_可視化・表示系機能,5
FUNCTION_L3_顕微鏡映像をタブレット画面に表示,顕微鏡映像をタブレット画面に表示,FUNCTION,3,FUNCTION_L2_映像・画像の表示・拡大,6
FUNCTION_L3_顕微鏡以上の拡大表示が可能,顕微鏡以上の拡大表示が可能,FUNCTION,3,FUNCTION_L2_映像・画像の表示・拡大,7
OPPORTUNITY_L2_微細な物質や構造の変化を捉える観察,微細な物質や構造の変化を捉える観察,OPPORTUNITY,2,,8
OPPORTUNITY_L3_タブレット顕微鏡を用いてブラウン運動を協働的に観察する活動,タブレット顕微鏡を用いてブラウン運動を協働的に観察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_微細な物質や構造の変化を捉える観察,9
OPPORTUNITY_L2_意見や考察を交換し多様な視点を取りいれる討議活動,意見や考察を交換し多様な視点を取りいれる討議活動,OPPORTUNITY,2,,10
OPPORTUNITY_L3_観察結果をグループ内で共有しその内容について討議する活動,観察結果をグループ内で共有し、その内容について討議する活動,OPPORTUNITY,3,OPPORTUNITY_L2_意見や考察を交換し多様な視点を取りいれる討議活動,11
EFFECT_L2_科学的概念・法則の理解,科学的概念・法則の理解,EFFECT,2,,12
EFFECT_L3_粒子の運動に関する理解が深まる,粒子の運動に関する理解が深まる,EFFECT,3,EFFECT_L2_科学的概念・法則の理解,13
EFFECT_L2_理科への興味・関心・意欲,理科への興味・関心・意欲,EFFECT,2,,14
EFFECT_L3_観察に対する意欲が高まる,観察に対する意欲が高まる,EFFECT,3,EFFECT_L2_理科への興味・関心・意欲,15
UNIT_L1_中学校,中学校,UNIT,1,,16
UNIT_L2_中学校1年,中学校1年,UNIT,2,UNIT_L1_中学校,17
UNIT_L3_化学,化学,UNIT,3,UNIT_L2_中学校1年,18
UNIT_L4_物質のすがた（身の回りの物質とその性質）,物質のすがた（身の回りの物質とその性質）,UNIT,4,UNIT_L3_化学,19
ICT_L3_携帯端末,携帯端末,ICT,3,ICT_L2_タブレット端末,20
ICT_L1_ソフトウェア,ソフトウェア,ICT,1,,21
ICT_L2_観測・記録アプリ,観測・記録アプリ,ICT,2,ICT_L1_ソフトウェア,22
ICT_L3_カメラアプリ,カメラアプリ,ICT,3,ICT_L2_観測・記録アプリ,23
ICT_L2_メディア・映像・画像,メディア・映像・画像,ICT,2,ICT_L1_ソフトウェア,24
ICT_L3_タイムラプス動画,タイムラプス動画,ICT,3,ICT_L2_メディア・映像・画像,25
FUNCTION_L2_空間・地形情報の可視化,空間・地形情報の可視化,FUNCTION,2,FUNCTION_L1_可視化・表示系機能,26
FUNCTION_L3_雲の変化を短時間で視覚的に確認が可能,雲の変化を短時間で視覚的に確認が可能,FUNCTION,3,FUNCTION_L2_空間・地形情報の可視化,27
FUNCTION_L3_雲の動きや発生を通して大気の運動を可視化が可能,雲の動きや発生を通して大気の運動を可視化が可能,FUNCTION,3,FUNCTION_L2_空間・地形情報の可視化,28
FUNCTION_L1_学習支援・管理系機能,学習支援・管理系機能,FUNCTION,1,,29
FUNCTION_L2_学習支援・管理,学習支援・管理,FUNCTION,2,FUNCTION_L1_学習支援・管理系機能,30
FUNCTION_L3_個々の端末を用いていつでも撮影が可能,個々の端末を用いていつでも撮影が可能,FUNCTION,3,FUNCTION_L2_学習支援・管理,31
FUNCTION_L1_分析・比較系機能,分析・比較系機能,FUNCTION,1,,32
FUNCTION_L2_比較・探索機能,比較・探索機能,FUNCTION,2,FUNCTION_L1_分析・比較系機能,33
FUNCTION_L3_撮影データを繰り返し分析・比較が可能,撮影データを繰り返し分析・比較が可能,FUNCTION,3,FUNCTION_L2_比較・探索機能,34
OPPORTUNITY_L2_学びの成果を発表・伝達する活動,学びの成果を発表・伝達する活動,OPPORTUNITY,2,,35
OPPORTUNITY_L3_自ら撮影した動画の分析結果を発表する活動,自ら撮影した動画の分析結果を発表する活動,OPPORTUNITY,3,OPPORTUNITY_L2_学びの成果を発表・伝達する活動,36
OPPORTUNITY_L2_他者の成果を参照し自らの考えを再構成する活動,他者の成果を参照し自らの考えを再構成する活動,OPPORTUNITY,2,,37
OPPORTUNITY_L3_他者の発表を聞き自分とは異なる視点を取り入れる活動,他者の発表を聞き、自分とは異なる視点を取り入れる活動,OPPORTUNITY,3,OPPORTUNITY_L2_他者の成果を参照し自らの考えを再構成する活動,38
EFFECT_L2_自然現象等の理解,自然現象等の理解,EFFECT,2,,39
EFFECT_L3_雲の動きや発生に関する理解が深まる,雲の動きや発生に関する理解が深まる,EFFECT,3,EFFECT_L2_自然現象等の理解,40
EFFECT_L3_大気の動きや気象現象に関する理解が深まる,大気の動きや気象現象に関する理解が深まる,EFFECT,3,EFFECT_L2_自然現象等の理解,41
EFFECT_L3_雲や天気の変化に対する興味・関心が高まる,雲や天気の変化に対する興味・関心が高まる,EFFECT,3,EFFECT_L2_理科への興味・関心・意欲,42
UNIT_L1_高等学校,高等学校,UNIT,1,,43
UNIT_L2_高等学校3年,高等学校3年,UNIT,2,UNIT_L1_高等学校,44
UNIT_L3_地学,地学,UNIT,3,UNIT_L2_高等学校3年,45
UNIT_L4_大気と海洋（大気の海水の運動）,大気と海洋（大気の海水の運動）,UNIT,4,UNIT_L3_地学,46
ICT_L2_センサー・計測機器,センサー・計測機器,ICT,2,ICT_L1_ハードウェア,47
ICT_L3_データロガー,データロガー,ICT,3,ICT_L2_センサー・計測機器,48
ICT_L3_酸素濃度センサー,酸素濃度センサー,ICT,3,ICT_L2_センサー・計測機器,49
ICT_L3_二酸化炭素濃度センサー,二酸化炭素濃度センサー,ICT,3,ICT_L2_センサー・計測機器,50
ICT_L2_表示機器,表示機器,ICT,2,ICT_L1_ハードウェア,51
ICT_L3_液晶ディスプレイ,液晶ディスプレイ,ICT,3,ICT_L2_表示機器,52
ICT_L2_PC,PC,ICT,2,ICT_L1_ハードウェア,53
ICT_L3_PC,PC,ICT,3,ICT_L2_PC,54
FUNCTION_L2_データ・現象の可視化,データ・現象の可視化,FUNCTION,2,FUNCTION_L1_可視化・表示系機能,55
FUNCTION_L3_気体濃度変化のリアルタイム観察が可能,気体濃度変化のリアルタイム観察が可能,FUNCTION,3,FUNCTION_L2_データ・現象の可視化,56
FUNCTION_L3_気体濃度データのグラフ表示が可能,気体濃度データのグラフ表示が可能,FUNCTION,3,FUNCTION_L2_データ・現象の可視化,57
FUNCTION_L1_共有・協働・通信系機能,共有・協働・通信系機能,FUNCTION,1,,58
FUNCTION_L2_データ・資料の共有,データ・資料の共有,FUNCTION,2,FUNCTION_L1_共有・協働・通信系機能,59
FUNCTION_L3_同じ画面を児童同士で共有が可能,同じ画面を児童同士で共有が可能,FUNCTION,3,FUNCTION_L2_データ・資料の共有,60
OPPORTUNITY_L2_物理量やエネルギーの変化を捉える観察,物理量やエネルギーの変化を捉える観察,OPPORTUNITY,2,,61
OPPORTUNITY_L3_気体濃度変化をリアルタイムに観察する活動,気体濃度変化をリアルタイムに観察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_物理量やエネルギーの変化を捉える観察,62
OPPORTUNITY_L3_光合成と呼吸の比較・観察する活動,光合成と呼吸の比較・観察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_物理量やエネルギーの変化を捉える観察,63
OPPORTUNITY_L2_観察や実験結果・考察などを共有し他者と比較・確認する活動,観察や実験結果・考察などを共有し他者と比較・確認する活動,OPPORTUNITY,2,,64
OPPORTUNITY_L3_観察結果を他者と共有する活動,観察結果を他者と共有する活動,OPPORTUNITY,3,OPPORTUNITY_L2_観察や実験結果・考察などを共有し他者と比較・確認する活動,65
OPPORTUNITY_L2_効率的な観察,効率的な観察,OPPORTUNITY,2,,66
OPPORTUNITY_L3_短時間で対象を観察し結果を確認する活動,短時間で対象を観察し結果を確認する活動,OPPORTUNITY,3,OPPORTUNITY_L2_効率的な観察,67
EFFECT_L3_光合成の過程に関する理解が深まる,光合成の過程に関する理解が深まる,EFFECT,3,EFFECT_L2_科学的概念・法則の理解,68
EFFECT_L2_授業の効率化,授業の効率化,EFFECT,2,,69
EFFECT_L3_時間のかかる現象の観察や実験（光合成）が効率化される,時間のかかる現象の観察や実験（光合成）が効率化される,EFFECT,3,EFFECT_L2_授業の効率化,70
UNIT_L1_小学校,小学校,UNIT,1,,71
UNIT_L2_小学校6年,小学校6年,UNIT,2,UNIT_L1_小学校,72
UNIT_L3_生物,生物,UNIT,3,UNIT_L2_小学校6年,73
UNIT_L4_生物と環境（生物と水空気との関わり）,生物と環境（生物と水、空気との関わり）,UNIT,4,UNIT_L3_生物,74
ICT_L3_Windows,Windows,ICT,3,ICT_L2_PC,75
ICT_L2_学習支援・学習管理システム,学習支援・学習管理システム,ICT,2,ICT_L1_ソフトウェア,76
ICT_L3_スタディノート,スタディノート,ICT,3,ICT_L2_学習支援・学習管理システム,77
FUNCTION_L1_記録・保存・整理系機能,記録・保存・整理系機能,FUNCTION,1,,78
FUNCTION_L2_学習ログ・記録の整理,学習ログ・記録の整理,FUNCTION,2,FUNCTION_L1_記録・保存・整理系機能,79
FUNCTION_L3_実験記録を二次元マップ上で可視化が可能,実験記録を二次元マップ上で可視化が可能,FUNCTION,3,FUNCTION_L2_学習ログ・記録の整理,80
FUNCTION_L3_デジタルノートによる情報共有が可能,デジタルノートによる情報共有が可能,FUNCTION,3,FUNCTION_L2_データ・資料の共有,81
FUNCTION_L2_意見・評価の共有,意見・評価の共有,FUNCTION,2,FUNCTION_L1_共有・協働・通信系機能,82
FUNCTION_L3_学習の評価規準をマップ上で構造化表示が可能,学習の評価規準をマップ上で構造化表示が可能,FUNCTION,3,FUNCTION_L2_意見・評価の共有,83
OPPORTUNITY_L3_共有した実験データをもとに相互に評価・検討する活動,共有した実験データをもとに、相互に評価・検討する活動,OPPORTUNITY,3,OPPORTUNITY_L2_観察や実験結果・考察などを共有し他者と比較・確認する活動,84
OPPORTUNITY_L3_誤差の扱いについて結果や方法を比較し班内で議論する活動,誤差の扱いについて結果や方法を比較し、班内で議論する活動,OPPORTUNITY,3,OPPORTUNITY_L2_意見や考察を交換し多様な視点を取りいれる討議活動,85
OPPORTUNITY_L2_条件を操作して変化や法則を確かめる実験,条件を操作して変化や法則を確かめる実験,OPPORTUNITY,2,,86
OPPORTUNITY_L3_議論の結果をもとに条件を見直し再実験を行って確かめる活動,議論の結果をもとに条件を見直し、再実験を行って確かめる活動,OPPORTUNITY,3,OPPORTUNITY_L2_条件を操作して変化や法則を確かめる実験,87
OPPORTUNITY_L2_仮説を立て・検証計画を立案する探究,仮説を立て・検証計画を立案する探究,OPPORTUNITY,2,,88
OPPORTUNITY_L3_データベースマップ上の情報を根拠に仮説を立てて検証する活動,データベースマップ上の情報を根拠に、仮説を立てて検証する活動,OPPORTUNITY,3,OPPORTUNITY_L2_仮説を立て・検証計画を立案する探究,89
EFFECT_L2_主体的に学習に取り組む力,主体的に学習に取り組む力,EFFECT,2,,90
EFFECT_L3_学習の評価規準を意識した学習が促される,学習の評価規準を意識した学習が促される,EFFECT,3,EFFECT_L2_主体的に学習に取り組む力,91
EFFECT_L2_科学的に考える力,科学的に考える力,EFFECT,2,,92
EFFECT_L3_誤差に対する認識が共有され科学的な理解が深まる,誤差に対する認識が共有され、科学的な理解が深まる,EFFECT,3,EFFECT_L2_科学的に考える力,93
EFFECT_L2_協同的に学ぶ力・社会とのつながり,協同的に学ぶ力・社会とのつながり,EFFECT,2,,94
EFFECT_L3_協働して学ぶ姿勢が育まれる,協働して学ぶ姿勢が育まれる,EFFECT,3,EFFECT_L2_協同的に学ぶ力・社会とのつながり,95
UNIT_L2_小学校5年,小学校5年,UNIT,2,UNIT_L1_小学校,96
UNIT_L3_物理,物理,UNIT,3,UNIT_L2_小学校5年,97
UNIT_L4_振り子の運動（振り子の運動）,振り子の運動（振り子の運動）,UNIT,4,UNIT_L3_物理,98
ICT_L2_プレゼンテーションソフト,プレゼンテーションソフト,ICT,2,ICT_L1_ソフトウェア,99
ICT_L3_PowerPoint,PowerPoint,ICT,3,ICT_L2_プレゼンテーションソフト,100
FUNCTION_L3_水分子の運動や振動を動画として表現が可能,水分子の運動や振動を動画として表現が可能,FUNCTION,3,FUNCTION_L2_データ・現象の可視化,101
FUNCTION_L1_編集・加工系機能,編集・加工系機能,FUNCTION,1,,102
FUNCTION_L2_資料・スライド作成,資料・スライド作成,FUNCTION,2,FUNCTION_L1_編集・加工系機能,103
FUNCTION_L3_状態変化を連続的なストーリーとして表現が可能,状態変化を連続的なストーリーとして表現が可能,FUNCTION,3,FUNCTION_L2_資料・スライド作成,104
FUNCTION_L3_学習者間で動画データの即時共有が可能,学習者間で動画データの即時共有が可能,FUNCTION,3,FUNCTION_L2_データ・資料の共有,105
FUNCTION_L3_言語的コードと非言語的コードの併用表現が可能,言語的コードと非言語的コードの併用表現が可能,FUNCTION,3,FUNCTION_L2_資料・スライド作成,106
OPPORTUNITY_L3_グループで作成した動画モデルを用いて発表する活動,グループで作成した動画モデルを用いて発表する活動,OPPORTUNITY,3,OPPORTUNITY_L2_学びの成果を発表・伝達する活動,107
OPPORTUNITY_L3_分子運動論の理解を基に動画を作成しその内容を他者と共有する活動,分子運動論の理解を基に動画を作成し、その内容を他者と共有する活動,OPPORTUNITY,3,OPPORTUNITY_L2_学びの成果を発表・伝達する活動,108
EFFECT_L3_分子運動論に関する理解が深まる,分子運動論に関する理解が深まる,EFFECT,3,EFFECT_L2_科学的概念・法則の理解,109
EFFECT_L3_熱エネルギーと分子の運動との関係に関する理解が深まる,熱エネルギーと分子の運動との関係に関する理解が深まる,EFFECT,3,EFFECT_L2_科学的概念・法則の理解,110
EFFECT_L2_科学的に表現し説明する力,科学的に表現し説明する力,EFFECT,2,,111
EFFECT_L3_科学的な表現の幅と精密さが豊かになる,科学的な表現の幅と精密さが豊かになる,EFFECT,3,EFFECT_L2_科学的に表現し説明する力,112
UNIT_L4_状態変化（状態変化と熱）,状態変化（状態変化と熱）,UNIT,4,UNIT_L3_化学,113
ICT_L3_iPad,iPad,ICT,3,ICT_L2_タブレット端末,114
ICT_L2_コミュニケーション・共有ツール,コミュニケーション・共有ツール,ICT,2,ICT_L1_ソフトウェア,115
ICT_L3_FaceTime,FaceTime,ICT,3,ICT_L2_コミュニケーション・共有ツール,116
FUNCTION_L2_リアルタイム通信・対話,リアルタイム通信・対話,FUNCTION,2,FUNCTION_L1_共有・協働・通信系機能,117
FUNCTION_L3_遠隔地の他校生徒とのリアルタイム通信が可能,遠隔地の他校生徒とのリアルタイム通信が可能,FUNCTION,3,FUNCTION_L2_リアルタイム通信・対話,118
FUNCTION_L3_遠隔地の他校の小グループ間での直接会話が可能,遠隔地の他校の小グループ間での直接会話が可能,FUNCTION,3,FUNCTION_L2_リアルタイム通信・対話,119
FUNCTION_L3_他者の資料・発表内容をリアルタイムに参照可能,他者の資料・発表内容をリアルタイムに参照可能,FUNCTION,3,FUNCTION_L2_データ・資料の共有,120
OPPORTUNITY_L2_遠隔交流や専門家との対話を通して学びを広げる活動,遠隔交流や専門家との対話を通して学びを広げる活動,OPPORTUNITY,2,,121
OPPORTUNITY_L3_他地域の生徒との意見交換,他地域の生徒との意見交換,OPPORTUNITY,3,OPPORTUNITY_L2_遠隔交流や専門家との対話を通して学びを広げる活動,122
OPPORTUNITY_L3_相手の発言を比較検討する討議活動,相手の発言を比較検討する討議活動,OPPORTUNITY,3,OPPORTUNITY_L2_意見や考察を交換し多様な視点を取りいれる討議活動,123
OPPORTUNITY_L2_学びを整理し自らの理解を表現する活動,学びを整理し自らの理解を表現する活動,OPPORTUNITY,2,,124
OPPORTUNITY_L3_互いに説明し合いながら内容を図で表現する活動,互いに説明し合いながら、内容を図で表現する活動,OPPORTUNITY,3,OPPORTUNITY_L2_学びを整理し自らの理解を表現する活動,125
EFFECT_L2_結果を分析し考察する力,結果を分析し考察する力,EFFECT,2,,126
EFFECT_L3_多面的に捉えて総合的に考察する力が育まれる,多面的に捉えて総合的に考察する力が育まれる,EFFECT,3,EFFECT_L2_結果を分析し考察する力,127
EFFECT_L3_根拠をもとに自分の考えを説明する力が育まれる,根拠をもとに自分の考えを説明する力が育まれる,EFFECT,3,EFFECT_L2_科学的に表現し説明する力,128
EFFECT_L3_他者に伝わるように考えを整理し分かりやすく表現する力が育まれる,他者に伝わるように考えを整理し、分かりやすく表現する力が育まれる,EFFECT,3,EFFECT_L2_科学的に表現し説明する力,129
UNIT_L2_中学校3年,中学校3年,UNIT,2,UNIT_L1_中学校,130
UNIT_L4_自然環境の保全と科学技術の利用（自然環境の保全と科学技術の利用）,自然環境の保全と科学技術の利用（自然環境の保全と科学技術の利用）,UNIT,4,UNIT_L3_地学,131
FUNCTION_L3_生徒間でのデータ・資料の共有・比較が可能,生徒間でのデータ・資料の共有・比較が可能,FUNCTION,3,FUNCTION_L2_データ・資料の共有,132
OPPORTUNITY_L2_観察や実験の結果をもとに科学的に考察を深める探究,観察や実験の結果をもとに科学的に考察を深める探究,OPPORTUNITY,2,,133
OPPORTUNITY_L3_複数地域の地質を比較・考察する活動,複数地域の地質を比較・考察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_観察や実験の結果をもとに科学的に考察を深める探究,134
OPPORTUNITY_L3_自らの調査で得た内容を整理し他者に向けて説明・発信する活動,自らの調査で得た内容を整理し、他者に向けて説明・発信する活動,OPPORTUNITY,3,OPPORTUNITY_L2_学びの成果を発表・伝達する活動,135
EFFECT_L3_火山活動とマグマの粘性との関係理解が深まる,火山活動とマグマの粘性との関係理解が深まる,EFFECT,3,EFFECT_L2_自然現象等の理解,136
EFFECT_L3_造岩鉱物の種類と色の違いに関する理解が深まる,造岩鉱物の種類と色の違いに関する理解が深まる,EFFECT,3,EFFECT_L2_自然現象等の理解,137
EFFECT_L3_地域の大地の成り立ちに対する学習意欲が高まる,地域の大地の成り立ちに対する学習意欲が高まる,EFFECT,3,EFFECT_L2_理科への興味・関心・意欲,138
UNIT_L4_火山と地震（火山活動と火成岩）,火山と地震（火山活動と火成岩）,UNIT,4,UNIT_L3_地学,139
ICT_L3_デジタル温度ロガー(おんどとりTR42),デジタル温度ロガー(おんどとりTR42),ICT,3,ICT_L2_センサー・計測機器,140
ICT_L3_ThermoREC,ThermoREC,ICT,3,ICT_L2_観測・記録アプリ,141
FUNCTION_L3_温度変化をリアルタイムで可視化することが可能,温度変化をリアルタイムで可視化することが可能,FUNCTION,3,FUNCTION_L2_データ・現象の可視化,142
FUNCTION_L2_データ・画像の記録,データ・画像の記録,FUNCTION,2,FUNCTION_L1_記録・保存・整理系機能,143
FUNCTION_L3_測定データをCSV形式で保存・解析することが可能,測定データをCSV形式で保存・解析することが可能,FUNCTION,3,FUNCTION_L2_データ・画像の記録,144
FUNCTION_L3_同時に複数箇所の温度を測定し比較することが可能,同時に複数箇所の温度を測定し比較することが可能,FUNCTION,3,FUNCTION_L2_データ・現象の可視化,145
OPPORTUNITY_L2_データを収集し分析・整理する探究,データを収集し分析・整理する探究,OPPORTUNITY,2,,146
OPPORTUNITY_L3_CSVデータを用いた表計算ソフトでの解析する活動,CSVデータを用いた表計算ソフトでの解析する活動,OPPORTUNITY,3,OPPORTUNITY_L2_データを収集し分析・整理する探究,147
OPPORTUNITY_L3_熱平衡過程における2つの物体の温度変化を同時に観察・測定する活動,熱平衡過程における2つの物体の温度変化を同時に観察・測定する活動,OPPORTUNITY,3,OPPORTUNITY_L2_物理量やエネルギーの変化を捉える観察,148
EFFECT_L3_温度変化と仕事量との関係理解が深まる,温度変化と仕事量との関係理解が深まる,EFFECT,3,EFFECT_L2_科学的概念・法則の理解,149
EFFECT_L3_熱平衡の概念や仕組みに関する理解が深まる,熱平衡の概念や仕組みに関する理解が深まる,EFFECT,3,EFFECT_L2_科学的概念・法則の理解,150
EFFECT_L3_熱力学現象への興味・関心が高まる,熱力学現象への興味・関心が高まる,EFFECT,3,EFFECT_L2_理科への興味・関心・意欲,151
UNIT_L4_熱（熱と温度）,熱（熱と温度）,UNIT,4,UNIT_L3_物理,152
ICT_L3_タブレット端末,タブレット端末,ICT,3,ICT_L2_タブレット端末,153
ICT_L2_WEBマップ,WEBマップ,ICT,2,ICT_L1_ソフトウェア,154
ICT_L3_ひまわり8号リアルタイムWEB,ひまわり8号リアルタイムWEB,ICT,3,ICT_L2_WEBマップ,155
ICT_L3_世界の雨分布統計,世界の雨分布統計,ICT,3,ICT_L2_WEBマップ,156
ICT_L3_earth::地球の風天気雨の状況地図,"earth::地球の風,天気,雨の状況地図",ICT,3,ICT_L2_WEBマップ,157
FUNCTION_L3_雲・降水・風の分布の視覚的比較が可能,雲・降水・風の分布の視覚的比較が可能,FUNCTION,3,FUNCTION_L2_空間・地形情報の可視化,158
OPPORTUNITY_L2_天体や自然現象の時間的変化を捉える観察,天体や自然現象の時間的変化を捉える観察,OPPORTUNITY,2,,159
OPPORTUNITY_L3_雲・降水・風の関係を比較・観察する活動,雲・降水・風の関係を比較・観察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_天体や自然現象の時間的変化を捉える観察,160
OPPORTUNITY_L3_観察や実験で得た根拠をもとに水蒸気の起源を科学的に考察する活動,観察や実験で得た根拠をもとに、水蒸気の起源を科学的に考察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_観察や実験の結果をもとに科学的に考察を深める探究,161
EFFECT_L3_複数の資料を関連づけて総合的に考察する力が育まれる,複数の資料を関連づけて総合的に考察する力が育まれる,EFFECT,3,EFFECT_L2_結果を分析し考察する力,162
EFFECT_L3_地球規模での大気の循環に関する理解が深まる,地球規模での大気の循環に関する理解が深まる,EFFECT,3,EFFECT_L2_自然現象等の理解,163
EFFECT_L3_気象への興味・関心が高まる,気象への興味・関心が高まる,EFFECT,3,EFFECT_L2_理科への興味・関心・意欲,164
UNIT_L2_中学校2年,中学校2年,UNIT,2,UNIT_L1_中学校,165
UNIT_L4_日本の気象（大気の働きと海洋の影響）,日本の気象（大気の働きと海洋の影響）,UNIT,4,UNIT_L3_地学,166
ICT_L2_シミュレーションソフト,シミュレーションソフト,ICT,2,ICT_L1_ソフトウェア,167
ICT_L3_スカイガイド,スカイガイド,ICT,3,ICT_L2_シミュレーションソフト,168
FUNCTION_L3_天体の位置・時間を設定して再現観察が可能,天体の位置・時間を設定して再現観察が可能,FUNCTION,3,FUNCTION_L2_空間・地形情報の可視化,169
FUNCTION_L3_児童ごとの個別操作・探索が可能,児童ごとの個別操作・探索が可能,FUNCTION,3,FUNCTION_L2_比較・探索機能,170
OPPORTUNITY_L3_月の位置や見え方の変化を複数の時刻で比較して観察する活動,月の位置や見え方の変化を、複数の時刻で比較して観察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_天体や自然現象の時間的変化を捉える観察,171
EFFECT_L3_月の形と位置の変化に関する理解が深まる,月の形と位置の変化に関する理解が深まる,EFFECT,3,EFFECT_L2_自然現象等の理解,172
UNIT_L4_月と太陽（月の位置や形と太陽の位置）,月と太陽（月の位置や形と太陽の位置）,UNIT,4,UNIT_L3_生物,173
ICT_L3_高橋式酸素センサ,高橋式酸素センサ,ICT,3,ICT_L2_センサー・計測機器,174
FUNCTION_L3_酸素濃度の瞬時測定が可能,酸素濃度の瞬時測定が可能,FUNCTION,3,FUNCTION_L2_データ・現象の可視化,175
OPPORTUNITY_L3_短時間で測定・分析ができる実験活動,短時間で測定・分析ができる実験活動,OPPORTUNITY,3,OPPORTUNITY_L2_効率的な観察,176
OPPORTUNITY_L3_測定した値を共有しグループで協働的に結果を考察する活動,測定した値を共有し、グループで協働的に結果を考察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_観察や実験結果・考察などを共有し他者と比較・確認する活動,177
EFFECT_L3_観察や実験に主体的に取り組む姿勢が促される,観察や実験に主体的に取り組む姿勢が促される,EFFECT,3,EFFECT_L2_主体的に学習に取り組む力,178
ICT_L3_Google_スライド,Google スライド,ICT,3,ICT_L2_プレゼンテーションソフト,179
ICT_L2_表計算ソフト,表計算ソフト,ICT,2,ICT_L1_ソフトウェア,180
